trades_count,buy_count,sell_count,total_volume,t0_profit,date,closing_price,symbol,stock_name
6,4,2,69969.89667236188,40522.15168839557,2023-08-28,7.15,SH600000,浦发银行
3,2,1,35595.15092343997,40522.15168839557,2023-08-29,7.07,SH600000,浦发银行
1,1,0,12678.653757491888,40522.15168839557,2023-08-30,7.03,SH600000,浦发银行
3,2,1,41808.12272098585,41007.04606787501,2023-08-31,6.98,SH600000,浦发银行
2,0,2,26279.39142461963,41007.04606787501,2023-09-01,7.01,SH600000,浦发银行
3,1,2,40163.84721778918,42009.39046621527,2023-09-04,7.11,SH600000,浦发银行
2,1,1,25357.307514983862,42009.39046621527,2023-09-05,7.04,SH600000,浦发银行
2,2,0,24698.67615095821,42009.39046621527,2023-09-06,7.09,SH600000,浦发银行
2,2,0,29391.424619640507,42009.39046621527,2023-09-07,7.04,SH600000,浦发银行
1,0,1,11756.569847856254,42009.39046621527,2023-09-08,7.0,SH600000,浦发银行
2,1,1,25776.43656481834,42283.62157397335,2023-09-11,7.04,SH600000,浦发银行
2,2,0,27662.517289073206,42283.62157397335,2023-09-13,7.05,SH600000,浦发银行
1,0,1,12102.351313969531,42283.62157397335,2023-09-14,7.11,SH600000,浦发银行
4,3,1,50714.61502996783,42629.541352673215,2023-09-15,7.12,SH600000,浦发银行
2,1,1,23436.299369909342,42629.541352673215,2023-09-18,7.07,SH600000,浦发银行
2,1,1,27662.51728907331,42942.6118920923,2023-09-19,7.13,SH600000,浦发银行
2,0,2,28650.464335111617,42942.6118920923,2023-09-20,7.13,SH600000,浦发银行
1,1,0,9385.496937364183,42942.6118920923,2023-09-21,7.1,SH600000,浦发银行
3,1,2,39293.348421979215,43619.51180407521,2023-09-22,7.18,SH600000,浦发银行
2,1,1,28650.464335111617,43619.51180407521,2023-09-25,7.16,SH600000,浦发银行
2,1,1,28650.464335111617,43619.51180407521,2023-09-26,7.15,SH600000,浦发银行
2,0,2,24698.67615095821,43619.51180407521,2023-09-27,7.13,SH600000,浦发银行
2,1,1,29967.72706316268,43619.51180407521,2023-09-28,7.1,SH600000,浦发银行
2,1,1,27662.51728907331,43619.51180407521,2023-10-09,7.03,SH600000,浦发银行
2,2,0,21899.49285384968,43619.51180407521,2023-10-10,7.01,SH600000,浦发银行
2,1,1,28650.464335111617,43929.75681494263,2023-10-11,7.02,SH600000,浦发银行
2,0,2,22591.055786076573,43929.75681494263,2023-10-12,7.14,SH600000,浦发银行
3,1,2,38035.961272475804,43929.75681494263,2023-10-13,7.1,SH600000,浦发银行
2,0,2,26894.114031043508,43929.75681494263,2023-10-16,7.07,SH600000,浦发银行
1,0,1,14522.821576763536,43929.75681494263,2023-10-17,7.09,SH600000,浦发银行
1,1,0,11361.391029440798,43929.75681494263,2023-10-18,7.05,SH600000,浦发银行
4,2,2,52031.87775801885,43929.75681494263,2023-10-19,6.84,SH600000,浦发银行
3,2,1,41493.77593360999,44193.371383868405,2023-10-20,6.87,SH600000,浦发银行
2,0,2,23820.50099892431,44193.371383868405,2023-10-23,6.83,SH600000,浦发银行
2,1,1,31811.89488243416,44193.371383868405,2023-10-24,6.82,SH600000,浦发银行
2,0,2,21899.49285384978,44193.371383868405,2023-10-25,6.93,SH600000,浦发银行
2,0,2,21899.49285384978,44193.371383868405,2023-10-26,6.96,SH600000,浦发银行
2,1,1,27662.51728907338,44476.30361070105,2023-10-27,6.99,SH600000,浦发银行
3,2,1,39293.3484219791,44476.30361070105,2023-10-30,6.8,SH600000,浦发银行
1,1,0,12678.653757492002,44476.30361070105,2023-10-31,6.82,SH600000,浦发银行
4,2,2,55325.03457814662,45484.571245555824,2023-11-01,6.86,SH600000,浦发银行
3,1,2,44951.59059474407,46936.49793988501,2023-11-02,6.94,SH600000,浦发银行
2,1,1,29967.72706316268,46936.49793988501,2023-11-03,6.89,SH600000,浦发银行
2,1,1,27662.51728907331,47221.753818169935,2023-11-06,6.94,SH600000,浦发银行
2,2,0,25933.60995850611,47221.753818169935,2023-11-07,6.91,SH600000,浦发银行
1,0,1,9385.496937364183,47221.753818169935,2023-11-08,6.9,SH600000,浦发银行
2,1,1,27662.51728907331,47507.00969645486,2023-11-09,6.93,SH600000,浦发银行
3,2,1,42185.33886583684,47507.00969645486,2023-11-10,6.88,SH600000,浦发银行
2,1,1,28650.464335111617,47507.00969645486,2023-11-13,6.88,SH600000,浦发银行
1,0,1,14522.821576763536,47507.00969645486,2023-11-14,6.88,SH600000,浦发银行
2,1,1,25776.4365648183,47785.025539532944,2023-11-15,6.96,SH600000,浦发银行
2,1,1,29967.727063162685,47785.025539532944,2023-11-16,6.93,SH600000,浦发银行
3,2,1,39419.08713692943,47785.025539532944,2023-11-17,6.86,SH600000,浦发银行
4,2,2,53788.22806208702,48925.22148236375,2023-11-20,6.91,SH600000,浦发银行
2,1,1,25776.4365648183,49202.85885190984,2023-11-21,6.96,SH600000,浦发银行
1,1,0,12678.653757492002,49202.85885190984,2023-11-22,6.94,SH600000,浦发银行
1,0,1,11361.391029440798,49202.85885190984,2023-11-23,6.93,SH600000,浦发银行
2,1,1,29967.72706316268,49510.62740884852,2023-11-24,6.95,SH600000,浦发银行
3,2,1,36778.57412297248,49738.15161355114,2023-11-27,6.9,SH600000,浦发银行
2,1,1,29967.72706316282,49738.15161355114,2023-11-28,6.87,SH600000,浦发银行
2,0,2,25933.609958506266,49738.15161355114,2023-11-29,6.82,SH600000,浦发银行
2,0,2,24698.676150958257,49738.15161355114,2023-11-30,6.85,SH600000,浦发银行
2,0,2,24698.676150958257,49738.15161355114,2023-12-01,6.85,SH600000,浦发银行
2,1,1,29967.72706316268,49738.15161355114,2023-12-04,6.81,SH600000,浦发银行
3,2,1,38035.96127247589,49738.15161355114,2023-12-05,6.71,SH600000,浦发银行
2,2,0,25776.436564818338,49738.15161355114,2023-12-06,6.61,SH600000,浦发银行
5,1,4,65069.78498679745,51157.93911512287,2023-12-07,6.61,SH600000,浦发银行
3,2,1,42646.38082065473,51462.26368865906,2023-12-08,6.67,SH600000,浦发银行
4,2,2,49501.34672781544,52460.55698413844,2023-12-11,6.72,SH600000,浦发银行
2,0,2,20362.686337789983,52460.55698413844,2023-12-12,6.71,SH600000,浦发银行
3,2,1,38035.9612724758,52717.61092604715,2023-12-13,6.71,SH600000,浦发银行
3,1,2,41109.57430459513,52717.61092604715,2023-12-14,6.64,SH600000,浦发银行
3,1,2,36972.01829981915,52717.61092604715,2023-12-15,6.57,SH600000,浦发银行
2,0,2,23513.13969571224,52717.61092604715,2023-12-18,6.58,SH600000,浦发银行
