time,type,price,volume,value,transaction_cost,net_value,holdings_after,cash_after,is_t0_trade,signal_strength,is_forced_adjustment,adjustment_reason,cash_change,holdings_change,reason,delay_reason,symbol,stock_name
2024-05-22 14:50:00,buy,8.52,17512.3595505618,149205.3033707865,208.88742471910112,-149414.19079550562,70224.7191011236,503503.1014561802,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-23 09:40:00,buy,8.51,13700.0,116587.0,163.2218,-116750.2218,83924.7191011236,386752.8796561802,True,1.9545454545454635,,,,,,,SH600000,浦发银行
2024-05-23 09:54:00,buy,8.55,12400.0,106020.00000000001,148.42800000000003,-106168.42800000001,96324.7191011236,280584.4516561802,True,1.7727272727272845,,,,,,,SH600000,浦发银行
2024-05-23 10:51:00,sell,8.6,15000.0,129000.0,180.6,128819.4,81324.7191011236,409403.8516561802,True,2.136363636363642,,,,,,,SH600000,浦发银行
2024-05-23 13:47:00,buy,8.52,12400.0,105648.0,147.9072,-105795.9072,93724.7191011236,303607.9444561802,True,1.7727272727272845,,,,,,,SH600000,浦发银行
2024-05-23 14:08:00,buy,8.55,12400.0,106020.00000000001,148.42800000000003,-106168.42800000001,106124.7191011236,197439.5164561802,True,1.7727272727272845,,,,,,,SH600000,浦发银行
2024-05-23 14:50:00,delay_balance,8.52,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内低位(27.3%)，延迟卖出,SH600000,浦发银行
2024-05-24 09:41:00,sell,8.53,13400.0,114301.99999999999,160.0228,114141.97719999998,92724.7191011236,311581.49365618016,True,1.9117647058823444,,,,,,,SH600000,浦发银行
2024-05-24 09:47:00,sell,8.56,15900.0,136104.0,190.5456,135913.4544,76824.7191011236,447494.94805618015,True,2.264705882352946,,,,,,,SH600000,浦发银行
2024-05-24 10:31:00,buy,8.51,10100.0,85951.0,120.3314,-86071.3314,86924.7191011236,361423.6166561801,True,1.4411764705882366,,,,,,,SH600000,浦发银行
2024-05-24 10:43:00,buy,8.48,9300.0,78864.0,110.4096,-78974.4096,96224.7191011236,282449.2070561801,True,1.3235294117647096,,,,,,,SH600000,浦发银行
2024-05-24 10:53:00,sell,8.53,12600.0,107477.99999999999,150.46919999999997,107327.53079999998,83624.7191011236,389776.73785618006,True,1.7941176470588174,,,,,,,SH600000,浦发银行
2024-05-24 13:47:00,buy,8.45,14300.0,120834.99999999999,169.16899999999998,-121004.16899999998,97924.7191011236,268772.56885618006,True,2.0294117647058716,,,,,,,SH600000,浦发银行
2024-05-24 14:13:00,sell,8.5,10100.0,85850.0,120.19,85729.81,87824.7191011236,354502.37885618006,True,1.4411764705882364,,,,,,,SH600000,浦发银行
2024-05-24 14:50:00,delay_balance,8.43,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内低位(5.9%)，延迟卖出,SH600000,浦发银行
2024-05-27 09:44:00,buy,8.5,9900.0,84150.0,117.81,-84267.81,97724.7191011236,270234.56885618006,True,1.409090909090912,,,,,,,SH600000,浦发银行
